t;speed;angle;e_q_t;e_q_st
0.98;-0.006348579;0.801756963;1.027302291;0.952035695
0.985;-0.006508016;0.791657507;1.027554439;0.953254671
0.99;-0.006652734;0.781319134;1.027746351;0.954469302
0.995;-0.006782485;0.770765164;1.027878537;0.955676386
1;-0.006897059;0.760019276;1.027951713;0.956872794
1.005;-0.006996278;0.749105455;1.027966799;0.958055484
1.01;-0.007080002;0.738047934;1.027924904;0.95922151
1.015;-0.007148128;0.726871139;1.027827325;0.960368035
1.02;-0.00720059;0.715599628;1.027675534;0.961492343
1.025;-0.007237361;0.704258034;1.027471166;0.962591848
1.03;-0.007258453;0.692870998;1.027216015;0.963664104
1.035;-0.007263917;0.681463114;1.026912011;0.964706811
1.04;-0.007253845;0.670058865;1.026561219;0.965717825
1.045;-0.007228365;0.658682557;1.026165815;0.966695166
1.05;-0.007187649;0.647358264;1.02572808;0.96763702
1.055;-0.007131903;0.636109763;1.025250382;0.968541744
1.06;-0.007061374;0.624960472;1.024735163;0.969407872
1.065;-0.006976345;0.613933395;1.024184924;0.970234115
1.07;-0.006877137;0.603051062;1.023602212;0.971019362
1.075;-0.006764103;0.592335472;1.022989604;0.971762679
1.08;-0.006637633;0.581808041;1.022349694;0.972463314
1.085;-0.006498147;0.571489548;1.021685083;0.973120684
1.09;-0.006346098;0.561400088;1.020998359;0.973734381
1.095;-0.006181965;0.551559021;1.020292093;0.974304164
1.1;-0.006006258;0.541984932;1.019568822;0.974829954
1.105;-0.005819508;0.532695587;1.018831041;0.975311826
1.11;-0.005622274;0.523707897;1.018081191;0.975750004
1.115;-0.005415131;0.515037882;1.017321652;0.976144855
1.12;-0.005198678;0.506700637;1.016554737;0.976496877
1.125;-0.004973527;0.498710308;1.01578268;0.976806689
1.13;-0.004740307;0.491080066;1.015007635;0.977075028
1.135;-0.004499659;0.483822084;1.014231668;0.977302733
1.14;-0.004252233;0.47694752;1.013456755;0.977490738
1.145;-0.00399869;0.470466503;1.012684778;0.977640059
1.15;-0.003739694;0.46438812;1.011917522;0.977751787
1.155;-0.003475915;0.458720412;1.011156677;0.977827078
1.16;-0.003208023;0.453470365;1.010403836;0.977867139
1.165;-0.00293669;0.448643912;1.009660493;0.977873222
1.17;-0.002662583;0.444245934;1.008928048;0.977846613
1.175;-0.002386368;0.440280265;1.008207809;0.977788622
1.18;-0.002108703;0.436749698;1.00750099;0.977700577
1.185;-0.001830239;0.433655998;1.006808718;0.977583813
1.19;-0.001551618;0.430999914;1.006132038;0.977439666
1.195;-0.001273472;0.428781196;1.005471909;0.977269466
1.2;-0.000996419;0.426998611;1.004829218;0.97707453
1.205;-0.000721063;0.425649965;1.004204777;0.976856158
1.21;-0.000447996;0.424732126;1.00359933;0.976615626
1.215;-0.00017779;0.424241047;1.003013558;0.976354182
1.22;8.90E-05;0.424171792;1.002448083;0.976073045
1.225;0.000351828;0.424518568;1.001903471;0.975773399
1.23;0.000610184;0.42527475;1.00138024;0.975456393
1.235;0.000863566;0.426432913;1.000878859;0.975123139
1.24;0.001111497;0.427984868;1.000399757;0.974774711
1.245;0.00135352;0.42992169;0.999943323;0.974412144
1.25;0.001589203;0.432233757;0.999509914;0.974036437
1.255;0.001818134;0.434910783;0.999099853;0.973648549
1.26;0.002039926;0.437941855;0.998713433;0.973249405
1.265;0.002254214;0.441315469;0.998350923;0.972839897
1.27;0.002460659;0.44501957;0.998012568;0.972420883
1.275;0.002658943;0.449041583;0.99769859;0.971993192
1.28;0.002848776;0.45336846;0.99740919;0.971557627
1.285;0.003029889;0.457986711;0.997144551;0.971114967
1.29;0.00320204;0.462882445;0.996904835;0.970665967
1.295;0.003365008;0.468041408;0.99669019;0.970211369
1.3;0.003518599;0.47344902;0.996500742;0.969751896
1.305;0.003662642;0.479090414;0.996336602;0.969288261
1.31;0.003796988;0.484950471;0.996197862;0.968821168
1.315;0.003921513;0.49101386;0.996084597;0.968351317
1.32;0.004036117;0.497265072;0.99599686;0.967879403
1.325;0.00414072;0.503688458;0.995934685;0.967406122
1.33;0.004235267;0.510268262;0.995898087;0.966932172
1.335;0.004319722;0.516988657;0.995887055;0.966458257
1.34;0.004394071;0.523833776;0.995901556;0.965985087
1.345;0.004458323;0.530787751;0.995941533;0.965513378
1.35;0.004512505;0.537834738;0.9960069;0.965043859
1.355;0.004556663;0.544958954;0.996097544;0.964577268
1.36;0.004590863;0.552144702;0.996213322;0.964114354
1.365;0.00461519;0.559376405;0.996354062;0.96365588
1.37;0.004629745;0.566638632;0.996519556;0.963202617
1.375;0.004634648;0.573916125;0.996709564;0.962755352
1.38;0.004630034;0.581193825;0.996923811;0.96231488
1.385;0.004616054;0.588456901;0.997161985;0.961882006
1.39;0.004592874;0.595690769;0.997423735;0.961457544
1.395;0.004560674;0.602881117;0.997708674;0.961042316
1.4;0.00451965;0.610013929;0.998016374;0.960637148
1.405;0.004470008;0.617075504;0.998346365;0.96024287
1.41;0.004411967;0.624052475;0.99869814;0.959860312
1.415;0.004345761;0.630931832;0.999071146;0.959490303
1.42;0.00427163;0.637700935;0.999464793;0.959133666
1.425;0.004189828;0.644347535;0.999878447;0.958791217
1.43;0.004100617;0.650859788;1.000311432;0.958463762
1.435;0.004004271;0.657226268;1.000763031;0.958152093
1.44;0.003901069;0.663435986;1.001232486;0.957856984
1.445;0.003791299;0.669478399;1.001719;0.957579189
1.45;0.003675259;0.675343421;1.002221736;0.957319437
1.455;0.00355325;0.68102144;1.002739817;0.957078432
1.46;0.003425582;0.686503323;1.003272331;0.956856846
1.465;0.003292569;0.691780426;1.003818328;0.956655316
1.47;0.003154532;0.696844604;1.004376826;0.956474444
1.475;0.003011795;0.70168822;1.004946809;0.956314788
1.48;0.002864686;0.706304147;1.005527231;0.956176867
1.485;0.002713537;0.71068578;1.006117016;0.956061151
1.49;0.002558685;0.714827036;1.006715063;0.955968061
1.495;0.002400466;0.718722362;1.007320248;0.955897967
1.5;0.002239221;0.722366737;1.007931424;0.955851185
1.505;0.00207529;0.725755675;1.008547427;0.955827974
1.51;0.001909018;0.728885228;1.009167075;0.955828536
1.515;0.001740746;0.731751985;1.009789175;0.955853013
1.52;0.001570818;0.734353076;1.010412524;0.955901487
1.525;0.001399578;0.73668617;1.011035914;0.955973975
1.53;0.001227366;0.738749472;1.011658131;0.956070435
1.535;0.001054525;0.740541725;1.012277963;0.956190756
1.54;0.000881393;0.742062208;1.012894202;0.956334769
1.545;0.000708307;0.743310727;1.013505647;0.956502236
1.55;0.000535601;0.744287618;1.014111108;0.956692857
1.555;0.000363605;0.744993738;1.014709408;0.95690627
1.56;0.000192648;0.745430462;1.015299391;0.957142048
1.565;2.31E-05;0.745599674;1.01587992;0.957399705
1.57;-0.000144863;0.745503764;1.016449884;0.957678694
1.575;-0.000310787;0.745145615;1.017008201;0.957978408
1.58;-0.00047441;0.744528602;1.017553821;0.958298186
1.585;-0.000635431;0.743656575;1.018085729;0.958637312
1.59;-0.000793556;0.742533853;1.018602951;0.958995015
1.595;-0.000948497;0.741165213;1.019104552;0.959370479
1.6;-0.001099973;0.739555876;1.019589643;0.959762838
1.605;-0.001247714;0.7377115;1.020057384;0.960171184
1.61;-0.001391456;0.735638161;1.020506985;0.960594566
1.615;-0.001530944;0.733342341;1.020937708;0.961031999
1.62;-0.001665935;0.730830914;1.021348872;0.961482463
1.625;-0.001796193;0.72811113;1.021739852;0.961944906
1.63;-0.001921496;0.725190601;1.022110083;0.962418252
1.635;-0.00204163;0.722077278;1.022459062;0.962901401
1.64;-0.002156394;0.718779442;1.022786346;0.963393235
1.645;-0.002265599;0.715305677;1.023091557;0.96389262
1.65;-0.002369067;0.711664857;1.02337438;0.964398414
1.655;-0.002466634;0.707866124;1.023634568;0.964909466
1.66;-0.002558148;0.703918868;1.023871934;0.965424621
1.665;-0.002643472;0.699832706;1.02408636;0.965942729
1.67;-0.002722481;0.695617462;1.024277792;0.966462643
1.675;-0.002795066;0.691283143;1.024446238;0.966983225
1.68;-0.00286113;0.686839918;1.024591773;0.967503349
1.685;-0.002920591;0.682298096;1.024714532;0.968021908
1.69;-0.002973384;0.677668102;1.024814711;0.968537814
1.695;-0.003019456;0.672960453;1.024892566;0.969050001
1.7;-0.003058771;0.668185738;1.02494841;0.969557434
1.705;-0.003091306;0.663354591;1.024982611;0.970059102
1.71;-0.003117056;0.658477666;1.024995593;0.970554033
1.715;-0.003136028;0.65356562;1.024987828;0.971041287
1.72;-0.003148246;0.648629081;1.024959835;0.971519962
1.725;-0.003153748;0.643678631;1.024912183;0.9719892
1.73;-0.003152587;0.63872478;1.024845478;0.972448181
1.735;-0.003144832;0.63377794;1.02476037;0.972896133
1.74;-0.003130564;0.62884841;1.024657543;0.973332329
1.745;-0.00310988;0.623946344;1.024537714;0.973756088
1.75;-0.003082889;0.619081737;1.024401629;0.974166781
1.755;-0.003049716;0.614264399;1.024250064;0.974563824
1.76;-0.003010497;0.609503937;1.024083816;0.974946686
1.765;-0.002965382;0.604809731;1.023903701;0.975314886
1.77;-0.002914531;0.600190919;1.023710553;0.975667994
1.775;-0.002858118;0.595656374;1.023505221;0.976005628
1.78;-0.002796328;0.591214691;1.023288561;0.976327461
1.785;-0.002729354;0.586874166;1.02306144;0.976633211
1.79;-0.002657403;0.582642779;1.022824728;0.976922646
1.795;-0.002580687;0.578528183;1.022579296;0.977195585
1.8;-0.002499431;0.574537688;1.022326014;0.977451891
1.805;-0.002413865;0.570678245;1.022065751;0.977691474
1.81;-0.002324227;0.56695644;1.021799365;0.977914287
1.815;-0.002230762;0.563378476;1.021527711;0.978120327
1.82;-0.002133721;0.559950167;1.02125163;0.978309633
1.825;-0.002033362;0.55667693;1.020971951;0.97848228
1.83;-0.001929943;0.553563775;1.020689491;0.978638385
1.835;-0.001823731;0.550615297;1.020405048;0.978778098
1.84;-0.001714993;0.547835677;1.020119405;0.978901602
1.845;-0.001603999;0.545228669;1.019833324;0.979009113
1.85;-0.001491021;0.542797604;1.01954755;0.979100876
1.855;-0.001376332;0.540545384;1.019262806;0.979177164
1.86;-0.001260205;0.538474482;1.018979791;0.979238276
1.865;-0.001142913;0.536586942;1.018699185;0.979284534
1.87;-0.001024727;0.534884382;1.018421643;0.979316281
1.875;-0.000905918;0.533367993;1.018147797;0.979333881
1.88;-0.000786753;0.532038543;1.017878255;0.979337714
1.885;-0.000667496;0.530896384;1.017613601;0.979328179
1.89;-0.000548409;0.529941454;1.017354395;0.979305686
1.895;-0.000429748;0.529173284;1.017101172;0.979270661
1.9;-0.000311766;0.528591006;1.016854443;0.979223538
1.905;-0.000194709;0.528193359;1.016614695;0.979164763
1.91;-7.88E-05;0.527978698;1.01638239;0.979094789
1.915;3.57E-05;0.527945007;1.016157969;0.979014078
1.92;0.000148528;0.528089903;1.015941845;0.978923095
1.925;0.000259535;0.528410651;1.01573441;0.978822313
1.93;0.000368477;0.528904174;1.015536034;0.978712207
1.935;0.000475148;0.529567065;1.015347061;0.978593255
1.94;0.00057935;0.530395601;1.015167816;0.978465939
1.945;0.000680894;0.531385755;1.014998599;0.978330739
1.95;0.0007796;0.532533208;1.01483969;0.978188141
1.955;0.000875296;0.533833365;1.014691345;0.978038627
1.96;0.000967819;0.535281369;1.014553802;0.977882681
1.965;0.001057017;0.536872116;1.014427276;0.977720786
1.97;0.001142746;0.538600269;1.01431196;0.977553424
1.975;0.001224873;0.540460272;1.014208029;0.977381076
1.98;0.001303274;0.542446369;1.014115636;0.977204222
1.985;0.001377835;0.544552617;1.014034914;0.97702334
1.99;0.001448452;0.5467729;1.013965977;0.976838906
1.995;0.001515032;0.54910095;1.013908918;0.976651394
2;0.001577491;0.551530356;1.013863812;0.976461276
2.005;0.001635754;0.554054587;1.013830711;0.976269022
2.01;0.001689759;0.556667;1.013809651;0.976075098
2.015;0.001739451;0.559360864;1.013800647;0.975879969
2.02;0.001784787;0.562129367;1.013803694;0.975684096
2.025;0.001825731;0.564965638;1.01381877;0.975487937
2.03;0.001862261;0.567862759;1.013845832;0.975291947
2.035;0.001894359;0.570813782;1.013884817;0.975096577
2.04;0.001922022;0.573811741;1.013935644;0.974902274
2.045;0.001945252;0.576849671;1.013998213;0.974709481
2.05;0.001964062;0.579920616;1.014072406;0.974518637
2.055;0.001978474;0.583017651;1.014158083;0.974330175
2.06;0.001988517;0.586133888;1.014255088;0.974144522
2.065;0.001994231;0.589262495;1.014363245;0.9739621
2.07;0.001995661;0.592396706;1.014482359;0.973783325
2.075;0.001992863;0.595529835;1.014612219;0.973608605
2.08;0.001985899;0.598655288;1.014752592;0.973438341
2.085;0.001974839;0.601766576;1.01490323;0.973272925
2.09;0.00195976;0.604857323;1.015063867;0.973112741
2.095;0.001940745;0.607921282;1.015234217;0.972958162
2.1;0.001917887;0.610952341;1.015413979;0.972809553
2.105;0.00189128;0.613944538;1.015602837;0.972667266
2.11;0.00186103;0.616892066;1.015800455;0.972531641
2.115;0.001827244;0.619789285;1.016006483;0.972403006
2.12;0.001790038;0.622630732;1.016220556;0.972281677
2.125;0.00174953;0.625411126;1.016442294;0.972167955
2.13;0.001705845;0.628125378;1.016671303;0.972062124
2.135;0.001659112;0.630768599;1.016907175;0.971964456
2.14;0.001609465;0.633336106;1.01714949;0.971875203
2.145;0.001557041;0.635823428;1.017397815;0.971794603
2.15;0.001501981;0.638226314;1.017651708;0.971722874
2.155;0.001444429;0.640540735;1.017910714;0.971660216
2.16;0.001384534;0.642762895;1.01817437;0.97160681
2.165;0.001322444;0.644889228;1.018442205;0.971562818
2.17;0.001258314;0.646916408;1.018713739;0.971528379
2.175;0.001192298;0.64884135;1.018988486;0.971503614
2.18;0.001124551;0.650661215;1.019265956;0.971488622
2.185;0.001055234;0.65237341;1.019545652;0.971483479
2.19;0.000984504;0.653975591;1.019827076;0.971488239
2.195;0.000912523;0.655465666;1.020109726;0.971502934
2.2;0.000839452;0.656841796;1.020393101;0.971527575
2.205;0.000765451;0.658102395;1.020676698;0.971562147
2.21;0.000690682;0.659246129;1.020960017;0.971606615
2.215;0.000615306;0.660271919;1.021242559;0.971660919
2.22;0.000539484;0.661178937;1.021523831;0.971724977
2.225;0.000463375;0.661966608;1.021803343;0.971798685
2.23;0.000387139;0.662634607;1.022080612;0.971881915
2.235;0.000310931;0.663182855;1.022355161;0.971974519
2.24;0.000234908;0.663611522;1.022626524;0.972076324
2.245;0.000159222;0.663921017;1.022894242;0.972187138
2.25;8.40E-05;0.66411199;1.023157868;0.972306748
2.255;9.47E-06;0.664185328;1.023416968;0.97243492
2.26;-6.43E-05;0.664142147;1.023671119;0.972571401
2.265;-0.000137152;0.663983793;1.023919913;0.972715917
2.27;-0.000208931;0.663711831;1.024162957;0.972868179
