;t;NE_G2_Delta;NW_G5_Delta;SE_G6_Delta;SW_G1_Delta;SW_G8_Delta;NE_G2_f;NW_G5_f;SE_G6_f;SW_G1_f;SW_G8_f;NE_G2_V;NW_G5_V;SE_G6_V;SW_G1_V;SW_G8_V;NE_G2_P;NW_G5_P;SE_G6_P;SW_G1_P;SW_G8_P;NE_G2_Q;NW_G5_Q;SE_G6_Q;SW_G1_Q;SW_G8_Q
43;0.195000064;37.45651169;-5.831217496;18.33267647;34.91859189;46.00126724;1.004310441;1.004746505;1.015831806;1.003254146;1.004358684;1.1000005;1.074702712;3.407462702;1.070717017;1.055385821;164.3761089;-158.2749546;3139.816345;184.5681022;423.4627883;-303.4090257;-308.630339;11688.74207;-181.9608849;-277.6112543
44;0.195000064;38.2617748;-5.025954381;19.13793958;35.723855;46.80653036;1.004310441;1.004746505;1.015831806;1.003254146;1.004358684;1.100093736;1.074770291;3.408870353;1.070779774;1.055472457;164.0414079;-158.5222437;3139.215407;184.3023922;423.2619411;-303.6800484;-308.8709658;11697.88592;-182.123966;-277.7096208
45;0.200000063;37.97640848;-5.512901966;17.90020177;35.33799797;46.53172549;1.004924764;1.005862357;1.022735832;1.003797395;1.004858537;1.113188011;1.093462944;3.502036144;1.081128107;1.075353035;181.1563373;-145.0231655;3334.364992;194.5108296;422.6521501;-331.5312168;-320.3761425;12450.63742;-203.0256612;-268.6259496
46;0.200000063;38.70523665;-4.784073791;18.62902994;36.06682615;47.26055367;1.004924764;1.005862357;1.022735832;1.003797395;1.004858537;1.113284741;1.093540221;3.503391108;1.081193857;1.075439162;180.8099072;-145.3048491;3334.893697;194.2494739;422.440647;-331.8275799;-320.6310818;12459.29991;-203.2071466;-268.7601334
47;0.210000063;38.4746513;-5.399395151;15.74445815;35.63436898;47.03926006;1.005539086;1.00697821;1.029639857;1.004340643;1.00535839;1.135478839;1.126070238;3.65633697;1.098675293;1.108335905;221.8958784;-114.0884777;3628.628683;220.9103315;434.4901594;-377.4844584;-336.4031614;13735.27887;-237.0488611;-252.2132539
48;0.215000063;39.49472338;-4.553416154;14.66841272;36.55375647;48.05377059;1.004014788;1.005457075;1.019955806;1.003246794;1.003503506;1.143018365;1.138104031;3.702562654;1.105038151;1.119348685;249.1065052;-95.04838291;3659.748851;240.3425324;451.5603801;-390.5918749;-338.1310195;14124.193;-248.0023289;-247.0390964
49;0.215000063;39.70025237;-4.347887167;14.87394171;36.75928546;48.25929958;1.004014788;1.005457075;1.019955806;1.003246794;1.003503506;1.14320372;1.138288035;3.705237515;1.10517485;1.119511434;248.8697724;-95.30750761;3665.29806;240.1524308;451.4017139;-391.2167468;-338.6795904;14143.92888;-248.4273128;-247.4339626
50;0.218957009;40.05381604;-4.124879113;13.25830792;37.0342144;48.60497862;1.003411631;1.004855169;1.016123879;1.002813964;1.002769539;1.148150812;1.146586083;3.73299788;1.109490077;1.126785424;273.1287667;-78.71876799;3646.362793;257.8515976;467.9080394;-399.0485453;-338.6106191;14376.73721;-255.4334908;-243.8830167
51;0.218957009;40.33014165;-3.848553499;13.53463353;37.31054001;48.88130423;1.003411631;1.004855169;1.016123879;1.002813964;1.002769539;1.148375207;1.14681446;3.736381147;1.109656848;1.126977858;272.9539896;-78.94404133;3653.683904;257.7018532;467.815989;-399.8135481;-339.2871153;14402.87129;-255.959368;-244.3943505
52;0.228957009;40.55281744;-3.941225883;8.173156243;37.33764575;49.07698588;1.002649482;1.004094602;1.011281854;1.00226704;1.001842097;1.158691045;1.165177671;3.800587341;1.118291911;1.141996997;339.732543;-33.18083561;3539.404106;306.7732777;514.8346374;-414.5012154;-335.5934242;14954.68463;-267.9370343;-233.7527663
53;0.238957009;41.85890114;-2.913440349;2.405853478;38.45838343;50.33784397;0.999807716;1.000023488;0.993274686;0.999983701;0.999261766;1.161965913;1.175612201;3.83492397;1.120723454;1.148020053;417.3768724;19.92417098;3221.261592;365.0267006;570.9737866;-410.3559259;-318.3238274;15286.28206;-263.5732516;-216.6689017
54;0.238957009;42.04876221;-2.723579283;2.595714544;38.6482445;50.52770504;0.999807716;1.000023488;0.993274686;0.999983701;0.999261766;1.161968041;1.175614127;3.834946284;1.120725373;1.148028768;417.3753195;19.90867871;3221.403429;365.0275454;570.9360107;-410.3651038;-318.331158;15286.4943;-263.5816;-216.6521484
55;0.248957009;43.35532753;-1.657705982;-4.508852415;39.78548289;51.77055055;0.998386833;0.997987931;0.984271102;0.998842032;0.997971601;1.159770911;1.180358713;3.848066189;1.119586011;1.148383169;502.9061239;78.45386519;2732.275792;430.5463175;632.5137773;-393.7517594;-293.5025429;15489.87057;-252.0572774;-198.8627525
56;0.258957008;45.03183972;-0.183816493;-12.34759868;41.31467071;53.36421134;0.996433518;0.994896743;0.97259552;0.99721178;0.996231137;1.151051485;1.178477983;3.844378181;1.11313313;1.141864737;590.8891311;140.182013;2114.73493;499.0380804;693.6424722;-362.066842;-257.638715;15640.02963;-228.332232;-174.5404066
57;0.259395399;46.73633272;1.513457603;-11.09568434;43.01392246;55.06423306;0.996369496;0.994794004;0.972214999;0.997158605;0.99617149;1.1503629;1.178075565;3.841519113;1.112642981;1.141301253;594.5713343;142.8251599;2080.53297;501.9835926;696.1011966;-359.9046111;-255.4872669;15624.53231;-226.8205181;-173.1813136
58;0.259395399;46.75011178;1.527236666;-11.08190527;43.02770153;55.07801213;0.996369496;0.994794004;0.972214999;0.997158605;0.99617149;1.150476641;1.178198325;3.843788696;1.112728349;1.141394003;594.7698889;142.9471286;2084.181029;502.1203243;696.2784172;-360.3067805;-255.8644181;15645.43139;-227.1021713;-173.4809621
59;0.269395399;46.91680303;1.530889405;-21.25968894;43.07628451;55.14208975;0.995639304;0.993622229;0.967875021;0.99655212;0.995491193;1.134987893;1.169744304;3.826146671;1.101705796;1.128800935;678.8380293;204.7029058;1394.513082;569.4755087;752.6894486;-314.153709;-209.634097;15790.1484;-194.5904746;-144.754328
60;0.274395399;48.71679723;3.267680382;-24.86326846;44.83371852;56.88174405;0.994934602;0.992463182;0.963577342;0.99595929;0.994800472;1.123875204;1.162056564;3.798158566;1.093812507;1.11944048;715.8072469;233.5804682;1021.583718;600.2008822;776.2873823;-283.519041;-180.8053845;15729.97446;-173.3641028;-127.2723649
61;0.274395399;48.79910988;3.349993035;-24.78095581;44.91603118;56.96405671;0.994934602;0.992463182;0.963577342;0.99595929;0.994800472;1.124551615;1.162799197;3.812889217;1.094318253;1.119990727;717.3732421;234.6137551;1041.265295;601.2917454;777.5647407;-285.8903688;-183.0686369;15867.46663;-175.0268444;-129.063256
62;0.279395399;49.64119618;4.137375906;-29.3737992;45.72476203;57.74184064;0.994582251;0.991883659;0.961428503;0.995662876;0.994455111;1.112164179;1.153894317;3.78282875;1.085853232;1.109781849;750.9717903;262.0569615;680.8149064;630.1756137;798.6541619;-253.1926773;-152.9637222;15812.2772;-153.4114452;-111.647175
63;0.279395399;49.76513793;4.261317651;-29.24985745;45.84870377;57.86578238;0.994582251;0.991883659;0.961428503;0.995662876;0.994455111;1.112812727;1.154612709;3.797622905;1.086337678;1.110308867;752.6475033;263.2062343;698.7168054;631.3266981;799.9884617;-255.4620393;-155.1473842;15951.33091;-155.0027816;-113.3699746
64;0.289395398;50.61569668;5.018432951;-39.25251203;46.6515253;58.58016314;0.994229899;0.991304136;0.959279663;0.995366461;0.994109751;1.085876841;1.134946126;3.761959775;1.068379012;1.088452624;812.2117274;315.5747025;66.02442302;684.6856636;836.7520883;-188.7481375;-94.7048117;16139.11486;-112.0366932;-79.76020579
65;0.299395398;52.35641049;6.69486433;-48.18963194;48.38297349;60.17051134;0.993358412;0.989657336;0.952867287;0.994581956;0.993105307;1.054276083;1.110175242;3.720834809;1.046983842;1.062233995;854.0060544;360.0970235;-469.0270383;726.1812125;860.1024092;-115.7442727;-30.16938294;16339.54891;-63.80115301;-43.53792171
66;0.304395398;53.8517935;8.169461153;-51.81762862;49.89305399;61.58489332;0.993205367;0.989276581;0.951170468;0.994434796;0.992888748;1.036820024;1.095627871;3.686622734;1.034981092;1.047424498;865.6286117;377.3811796;-695.6924773;740.3782741;864.916759;-77.29248747;3.185891736;16311.89703;-37.73729085;-24.48827465
67;0.304395398;53.81403743;8.131705083;-51.85538469;49.85529792;61.54713725;0.993205367;0.989276581;0.951170468;0.994434796;0.992888748;1.037227066;1.096118953;3.699646682;1.035284287;1.04775455;867.3931621;378.7552437;-686.8072092;741.6096504;866.2113382;-78.73710042;1.705587908;16437.7602;-38.7565797;-25.64860565
68;0.309395398;54.54506088;8.845628148;-56.08992401;50.6103805;62.19520146;0.993128844;0.989086203;0.950322058;0.994361216;0.992780468;1.019256828;1.08079761;3.666170135;1.022666221;1.032237535;874.5921828;393.6057808;-878.6751712;752.3487746;867.665889;-40.55493542;34.6791744;16414.61655;-11.99081926;-6.287516258
69;0.309395398;54.49606366;8.796630924;-56.13892124;50.56138327;62.14620423;0.993128844;0.989086203;0.950322058;0.994361216;0.992780468;1.019608071;1.081232598;3.678357612;1.022926341;1.032521528;876.2738266;394.9430599;-871.5191757;753.5346416;868.8991698;-41.81304787;33.37582749;16532.9079;-12.87491168;-7.310283696
70;0.319395398;55.26382421;9.535350356;-64.95100158;51.39546456;62.74458012;0.993052322;0.988895825;0.949473648;0.994287636;0.992672189;0.98375864;1.050295949;3.635870515;0.997188821;1.000962026;883.5159321;420.841265;-1156.396952;768.8200017;866.3132414;29.39715331;94.41701847;16713.52692;39.16672082;29.25459415
71;0.329395397;56.38998749;10.63817628;-72.65112587;52.62301166;63.69596207;0.99332811;0.989009615;0.949157732;0.994530769;0.992855735;0.947809609;1.017899517;3.595770786;0.970577042;0.968287893;876.8984977;437.9476544;-1327.253876;772.2097123;853.3020497;95.48465192;149.9308045;16862.71046;89.93704912;63.74841996
72;0.339395397;57.26499093;11.48621932;-79.77329622;53.6314923;64.39445031;0.993710113;0.989417893;0.950224892;0.994875522;0.993214899;0.912281923;0.984512288;3.559548498;0.943865568;0.935365205;858.481033;446.5953562;-1401.222883;765.527144;831.9444051;156.358719;199.8437765;16974.7848;138.0369981;95.72004664
73;0.344395397;57.80063484;12.00195723;-82.80743669;54.24817336;64.84281639;0.993943642;0.989704824;0.951241879;0.995069593;0.993444675;0.895578114;0.968289538;3.53752684;0.931449306;0.920016404;845.6065446;447.3902246;-1409.539306;759.237268;819.3303247;183.2314644;221.0799412;16948.2408;159.0446869;108.9051062
74;0.344395397;57.72349499;11.92481739;-82.88457654;54.17103352;64.76567654;0.993943642;0.989704824;0.951241879;0.995069593;0.993444675;0.89569429;0.968482156;3.543914597;0.931596954;0.920197148;846.4957943;448.1642215;-1409.168949;759.9720734;820.0489447;182.79037;220.5448833;17010.54895;158.591635;108.3369991
75;0.354395397;58.10518778;12.25595219;-89.21596069;54.72720292;64.97568811;0.99417717;0.989991755;0.952258867;0.995263664;0.99367445;0.863400852;0.936656139;3.515288967;0.907346468;0.890224879;818.2628381;447.0888318;-1385.783727;744.7009928;793.1177076;231.578891;258.5700931;17060.47518;197.8768808;132.913895
76;0.359395397;58.33418639;12.44697322;-91.92476318;55.05489336;65.12209697;0.99441653;0.99036521;0.954042805;0.995442775;0.99392605;0.848956118;0.922610006;3.499239233;0.896358788;0.87665291;803.1691368;444.9188021;-1357.340968;735.7101404;779.2249562;251.6868329;272.4476338;17023.40578;214.520964;142.9021052
77;0.359395397;58.27597204;12.38875888;-91.98297752;54.99667901;65.06388263;0.99441653;0.99036521;0.954042805;0.995442775;0.99392605;0.84916337;0.923225081;3.503624354;0.896501278;0.876834776;804.0229043;445.8351976;-1359.148897;736.3028998;779.8055828;251.1188229;271.1474038;17065.28969;214.1312544;142.4115809
78;0.369395396;58.5015256;12.52199636;-97.2329467;55.42925027;65.12920756;0.994655889;0.990738664;0.955826744;0.995621886;0.99417765;0.82152593;0.895344173;3.482917602;0.875351278;0.850747735;772.8632067;438.9754407;-1280.275457;717.056455;751.6631431;287.336059;297.2596739;17056.82091;244.7738441;160.8902787
79;0.379395396;58.57191093;12.46439919;-101.8640262;55.7241705;65.05010622;0.994940272;0.991368127;0.960241118;0.995818958;0.994563391;0.797592679;0.870467596;3.466963205;0.856866868;0.82795864;741.8874197;428.983343;-1179.375494;697.2074891;724.5356702;315.5606676;316.7130949;17013.91183;269.211131;175.1590537
80;0.379395396;58.56349076;12.45597902;-101.8724464;55.71575033;65.04168605;0.994940272;0.991368127;0.960241118;0.995818958;0.994563391;0.798076966;0.87096212;3.467527327;0.857214409;0.828345318;742.7147319;429.2411948;-1210.800577;697.7523234;725.0711695;314.6321103;315.8527701;17010.73805;268.4723313;174.4023005
81;0.389395396;58.5162284;12.23995721;-105.8964077;55.90721621;64.85834404;0.995082464;0.991682859;0.962448304;0.995917494;0.994756261;0.777817582;0.84942662;3.456127796;0.84155646;0.809153584;713.5925215;417.287662;-1090.99127;678.7168774;700.1146272;335.8967995;329.7651095;16940.91571;287.027564;185.0559347
