logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
47,24,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,35.09704892993573,0.0481568328104913,0.9847118756733836
48,25,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.95728360848543,0.0407529580406844,0.4809179175645113
49,25,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,53.15892798923099,0.0439743329770863,0.9672712935134768
50,26,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,57.65297206787526,0.0459071672521531,0.4958505840040743
51,26,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.85961327533944,0.0477021657861769,0.9854785823263228
52,27,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.52000773334341,0.0456800842657685,0.4884886262007057
53,27,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.511122114704143,0.04941983288154,0.9578917091712356
54,28,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.594208437694903,0.0429680827073752,0.5021097916178405
55,28,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,31.042581072561635,0.0462724999524652,1.0008960426785052
56,29,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.51450867107211,0.0478962501510977,0.5013662916608155
57,29,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.35662098855557,0.0489652911201119,1.005556917283684
58,30,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.82400565928779,0.0460454579442739,0.4970072940923273
59,30,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,65.8422870188367,0.0505038332194089,1.0259539987891912
60,31,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.455521527486386,0.0443651252426207,0.4926215400919318
61,31,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.271578442701763,0.0485903327353298,0.9924733750522136
62,32,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.319597152976343,0.0467259590514004,0.4973706239834428
